epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.1773,1.1366,0.2052,0.1112,0.1942,0.3470
2,1.1338,1.1188,0.1658,0.0655,0.2020,0.2172
3,1.1220,1.1115,0.0586,0.0140,0.2104,0.0408
4,1.1165,1.1053,0.0394,0.0073,0.2060,0.0251
5,1.1110,1.0986,0.0415,0.0073,0.2092,0.0262
6,1.1051,1.0922,0.0294,0.0043,0.2266,0.0170
7,1.0998,1.0872,0.0169,0.0029,0.2337,0.0092
8,1.0955,1.0830,0.0768,0.0165,0.2148,0.0592
9,1.0904,1.0767,0.0541,0.0088,0.2259,0.0355
10,1.0837,1.0710,0.1397,0.0406,0.2198,0.1506
11,1.0774,1.0655,0.2007,0.0707,0.2210,0.3270
12,1.0695,1.0661,0.1981,0.1004,0.2025,0.3710
13,1.0678,1.0510,0.2038,0.0832,0.2185,0.3578
14,1.0608,1.0483,0.1882,0.0767,0.1894,0.2864
15,1.0551,1.0380,0.2037,0.0748,0.1980,0.3480
16,1.0467,1.0426,0.2057,0.0838,0.1936,0.3580
17,1.0474,1.0336,0.2107,0.0784,0.2063,0.3759
18,1.0393,1.0254,0.2158,0.0808,0.2066,0.3945
19,1.0322,1.0193,0.2232,0.0780,0.2412,0.3971
20,1.0242,1.0191,0.2189,0.0908,0.2280,0.4071
21,1.0075,1.0195,0.2045,0.1052,0.2076,0.4174
22,1.0006,1.0076,0.2241,0.0768,0.2386,0.3905
23,0.9841,0.9950,0.2421,0.0726,0.2491,0.4178
24,0.9643,0.9860,0.2521,0.0756,0.2518,0.4091
25,0.9481,0.9753,0.2524,0.0718,0.2476,0.4179
26,0.9308,0.9768,0.2497,0.0720,0.2444,0.4160
27,0.9175,0.9710,0.2459,0.0644,0.2428,0.4014
28,0.8991,0.9646,0.2360,0.0540,0.2499,0.3810
29,0.8795,0.9580,0.2578,0.0602,0.2730,0.4118
30,0.8616,0.9579,0.2860,0.0631,0.2680,0.4636
31,0.8416,0.9488,0.2852,0.0681,0.2800,0.4941
32,0.8223,0.9327,0.2766,0.0549,0.2657,0.4550
33,0.8001,0.9423,0.2752,0.0564,0.2639,0.4684
