epoch,tr_loss,vl_loss,dice,fpr,prec,rec
100,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
101,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
102,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
103,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
104,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
105,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
106,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
107,0.7306,0.9167,0.3420,0.0553,0.3974,0.4929
108,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
109,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
110,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
111,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
112,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
113,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
114,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
115,0.7306,0.9167,0.3420,0.0553,0.3975,0.4929
116,0.7305,0.9167,0.3420,0.0553,0.3975,0.4929
117,0.7305,0.9167,0.3420,0.0553,0.3975,0.4929
118,0.7305,0.9167,0.3420,0.0553,0.3975,0.4929
119,0.7305,0.9167,0.3420,0.0553,0.3975,0.4929
120,0.7305,0.9167,0.3420,0.0553,0.3975,0.4929
121,0.7305,0.9168,0.3420,0.0553,0.3975,0.4929
122,0.7305,0.9168,0.3420,0.0553,0.3975,0.4929
123,0.7305,0.9168,0.3420,0.0553,0.3975,0.4929
124,0.7305,0.9168,0.3420,0.0553,0.3975,0.4929
125,0.7305,0.9168,0.3420,0.0553,0.3975,0.4929
126,0.7305,0.9168,0.3420,0.0553,0.3975,0.4929
127,0.7305,0.9168,0.3420,0.0553,0.3976,0.4929
128,0.7305,0.9168,0.3420,0.0553,0.3976,0.4929
129,0.7305,0.9168,0.3420,0.0553,0.3976,0.4929
130,0.7305,0.9168,0.3420,0.0553,0.3976,0.4929
131,0.7305,0.9168,0.3420,0.0553,0.3976,0.4929
132,0.7305,0.9168,0.3420,0.0553,0.3976,0.4929
133,0.7305,0.9168,0.3420,0.0553,0.3976,0.4928
134,0.7305,0.9168,0.3419,0.0553,0.3976,0.4928
135,0.7305,0.9168,0.3419,0.0553,0.3976,0.4928
136,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
137,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
138,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
139,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
140,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
141,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
142,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
143,0.7304,0.9168,0.3419,0.0553,0.3976,0.4928
144,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
145,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
146,0.7304,0.9168,0.3419,0.0554,0.3976,0.4929
147,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
148,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
149,0.7304,0.9168,0.3419,0.0554,0.3976,0.4929
150,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
151,0.7304,0.9168,0.3419,0.0554,0.3976,0.4929
152,0.7304,0.9168,0.3419,0.0554,0.3976,0.4929
153,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
154,0.7304,0.9168,0.3419,0.0554,0.3976,0.4928
155,0.7303,0.9168,0.3419,0.0554,0.3976,0.4928
156,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
157,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
158,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
159,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
160,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
161,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
162,0.7303,0.9168,0.3419,0.0554,0.3977,0.4929
163,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
164,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
165,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
166,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
167,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
168,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
169,0.7303,0.9168,0.3420,0.0554,0.3977,0.4929
170,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
171,0.7303,0.9168,0.3419,0.0554,0.3976,0.4929
172,0.7303,0.9168,0.3420,0.0554,0.3976,0.4930
173,0.7303,0.9168,0.3420,0.0554,0.3976,0.4930
174,0.7303,0.9168,0.3420,0.0554,0.3976,0.4930
175,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
176,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
177,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
178,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
179,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
180,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
181,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
182,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
183,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
184,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
185,0.7302,0.9168,0.3420,0.0554,0.3976,0.4930
186,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
187,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
188,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
189,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
190,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
191,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
192,0.7302,0.9168,0.3420,0.0554,0.3977,0.4930
193,0.7302,0.9169,0.3420,0.0554,0.3977,0.4930
194,0.7301,0.9169,0.3420,0.0554,0.3977,0.4930
195,0.7301,0.9169,0.3420,0.0554,0.3977,0.4930
196,0.7301,0.9169,0.3420,0.0554,0.3977,0.4930
197,0.7301,0.9169,0.3420,0.0554,0.3977,0.4930
198,0.7301,0.9169,0.3420,0.0554,0.3977,0.4930
199,0.7301,0.9169,0.3420,0.0554,0.3977,0.4931
200,0.7301,0.9169,0.3420,0.0554,0.3977,0.4931
