epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.1962,1.1758,0.1935,0.1287,0.1858,0.3330
2,1.1593,1.1577,0.0628,0.0221,0.1963,0.0483
3,1.1492,1.1528,0.0700,0.0168,0.2416,0.0538
4,1.1394,1.1379,0.0599,0.0115,0.2477,0.0445
5,1.1308,1.1303,0.0899,0.0202,0.2392,0.0833
6,1.1230,1.1222,0.1138,0.0282,0.2147,0.1198
7,1.1157,1.1121,0.1472,0.0491,0.2098,0.2270
8,1.1077,1.1384,0.1608,0.0831,0.2369,0.3164
9,1.1004,1.1041,0.1504,0.0580,0.1936,0.2445
10,1.0922,1.0932,0.1760,0.0603,0.2256,0.2867
11,1.0825,1.0971,0.1915,0.0783,0.2380,0.3506
12,1.0735,1.0919,0.1762,0.0650,0.2341,0.2876
13,1.0615,1.0791,0.1450,0.0480,0.2938,0.1922
14,1.0584,1.0780,0.1325,0.0559,0.2714,0.2057
15,1.0491,1.0693,0.1193,0.0543,0.2135,0.2030
16,1.0387,1.0552,0.1251,0.0465,0.1971,0.1999
17,1.0299,1.0526,0.1294,0.0446,0.2140,0.2053
18,1.0218,1.0369,0.1300,0.0408,0.2004,0.2021
19,1.0121,1.0334,0.1414,0.0425,0.3113,0.2157
20,1.0045,1.0244,0.1448,0.0372,0.3187,0.1988
21,0.9931,1.0203,0.1484,0.0407,0.2114,0.2085
22,0.9815,1.0044,0.1646,0.0459,0.2462,0.2456
23,0.9686,1.0168,0.1674,0.0515,0.2214,0.2514
24,0.9658,1.0054,0.1688,0.0420,0.2263,0.2363
25,0.9457,0.9958,0.1958,0.0492,0.2533,0.2671
26,0.9260,0.9950,0.2333,0.0604,0.2999,0.3405
27,0.9084,0.9637,0.2362,0.0421,0.3168,0.3087
28,0.8900,0.9528,0.2426,0.0341,0.3193,0.3064
29,0.8767,0.9539,0.2399,0.0299,0.3204,0.2916
30,0.8628,0.9438,0.2501,0.0313,0.3272,0.3108
31,0.8420,0.9353,0.2558,0.0313,0.3201,0.3179
32,0.8227,0.9283,0.2804,0.0330,0.3395,0.3514
33,0.8033,0.9148,0.2868,0.0314,0.3485,0.3539
34,0.7706,0.9177,0.2807,0.0235,0.4076,0.3168
35,0.7593,0.8992,0.2978,0.0246,0.3962,0.3353
36,0.7281,0.8979,0.3544,0.0233,0.4520,0.3787
37,0.7009,0.8901,0.3537,0.0242,0.4163,0.3930
38,0.6669,0.8865,0.3370,0.0184,0.4534,0.3636
39,0.6401,0.8903,0.3213,0.0165,0.4217,0.3333
40,0.6137,0.8946,0.2936,0.0134,0.4305,0.2928
41,0.6011,0.8680,0.3515,0.0193,0.4167,0.3790
42,0.5679,0.8699,0.3494,0.0128,0.4647,0.3392
43,0.5387,0.8649,0.3501,0.0108,0.4710,0.3375
44,0.5125,0.8485,0.3543,0.0106,0.4685,0.3465
45,0.4877,0.8347,0.3444,0.0091,0.4748,0.3332
46,0.4624,0.8652,0.3277,0.0076,0.4845,0.3178
47,0.4503,0.8469,0.3375,0.0076,0.4782,0.3256
48,0.4250,0.9092,0.2570,0.0027,0.4657,0.2358
49,0.4421,0.8322,0.3446,0.0096,0.4735,0.3361
50,0.4030,0.8479,0.3348,0.0084,0.4521,0.3219
51,0.3925,0.8409,0.3360,0.0082,0.4484,0.3266
52,0.3697,0.8531,0.3222,0.0087,0.4444,0.3102
53,0.3574,0.8621,0.3173,0.0076,0.4587,0.3000
54,0.3462,0.8738,0.2936,0.0061,0.4574,0.2716
55,0.3493,0.8634,0.3148,0.0077,0.4439,0.2993
56,0.3225,0.8422,0.3254,0.0084,0.4524,0.3135
57,0.2994,0.8436,0.3239,0.0083,0.4541,0.3116
58,0.2930,0.8434,0.3232,0.0082,0.4603,0.3105
59,0.2886,0.8438,0.3217,0.0082,0.4396,0.3082
60,0.2848,0.8435,0.3212,0.0082,0.4396,0.3077
61,0.2809,0.8434,0.3217,0.0081,0.4408,0.3085
62,0.2769,0.8438,0.3210,0.0080,0.4414,0.3069
63,0.2765,0.8437,0.3211,0.0080,0.4415,0.3070
64,0.2761,0.8437,0.3211,0.0080,0.4416,0.3070
65,0.2757,0.8438,0.3209,0.0080,0.4416,0.3067
66,0.2754,0.8439,0.3207,0.0080,0.4415,0.3064
67,0.2750,0.8440,0.3205,0.0080,0.4415,0.3060
68,0.2746,0.8440,0.3205,0.0080,0.4415,0.3059
69,0.2745,0.8441,0.3204,0.0080,0.4415,0.3058
70,0.2745,0.8441,0.3204,0.0080,0.4415,0.3058
71,0.2745,0.8441,0.3204,0.0080,0.4415,0.3057
72,0.2744,0.8441,0.3204,0.0080,0.4415,0.3057
73,0.2744,0.8441,0.3203,0.0080,0.4415,0.3056
74,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
75,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
76,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
77,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
78,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
79,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
80,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
81,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
82,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
83,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
84,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
85,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
86,0.2743,0.8441,0.3203,0.0080,0.4415,0.3056
87,0.2743,0.8442,0.3203,0.0080,0.4415,0.3056
88,0.2743,0.8442,0.3203,0.0080,0.4415,0.3056
89,0.2743,0.8442,0.3203,0.0080,0.4415,0.3056
90,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
91,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
92,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
93,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
94,0.2743,0.8442,0.3203,0.0080,0.4415,0.3056
95,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
96,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
97,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
98,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
99,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
100,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
101,0.2743,0.8442,0.3203,0.0080,0.4415,0.3055
102,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
103,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
104,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
105,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
106,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
107,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
108,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
109,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
110,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
111,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
112,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
113,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
114,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
115,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
116,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
117,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
118,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
119,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
120,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
121,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
122,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
123,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
124,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
125,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
126,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
127,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
128,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
129,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
130,0.2742,0.8442,0.3203,0.0080,0.4415,0.3055
131,0.2741,0.8442,0.3203,0.0080,0.4415,0.3055
132,0.2741,0.8442,0.3203,0.0080,0.4415,0.3055
133,0.2741,0.8442,0.3203,0.0080,0.4415,0.3055
134,0.2741,0.8442,0.3203,0.0080,0.4415,0.3055
135,0.2741,0.8442,0.3203,0.0080,0.4415,0.3054
136,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
137,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
138,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
139,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
140,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
141,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
142,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
143,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
144,0.2741,0.8442,0.3202,0.0080,0.4415,0.3054
145,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
146,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
147,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
148,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
149,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
150,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
151,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
152,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
153,0.2741,0.8443,0.3202,0.0080,0.4415,0.3054
154,0.2741,0.8443,0.3202,0.0080,0.4415,0.3053
155,0.2741,0.8443,0.3202,0.0080,0.4415,0.3053
156,0.2741,0.8443,0.3202,0.0080,0.4415,0.3053
157,0.2741,0.8443,0.3202,0.0080,0.4415,0.3053
158,0.2741,0.8443,0.3202,0.0080,0.4415,0.3053
159,0.2741,0.8443,0.3202,0.0080,0.4415,0.3053
160,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
161,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
162,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
163,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
164,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
165,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
166,0.2740,0.8443,0.3202,0.0080,0.4415,0.3053
167,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
168,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
169,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
170,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
171,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
172,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
173,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
174,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
175,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
176,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
177,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
178,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
179,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
180,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
181,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
182,0.2740,0.8443,0.3201,0.0080,0.4415,0.3053
183,0.2740,0.8443,0.3201,0.0080,0.4415,0.3052
184,0.2740,0.8443,0.3201,0.0080,0.4415,0.3052
185,0.2740,0.8443,0.3201,0.0080,0.4415,0.3052
186,0.2740,0.8443,0.3201,0.0080,0.4415,0.3052
187,0.2740,0.8443,0.3201,0.0080,0.4415,0.3052
188,0.2740,0.8443,0.3201,0.0080,0.4415,0.3052
189,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
190,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
191,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
192,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
193,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
194,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
195,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
196,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
197,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
198,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
199,0.2739,0.8443,0.3201,0.0080,0.4415,0.3052
200,0.2739,0.8443,0.3201,0.0080,0.4415,0.3051
