epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.2161,1.1792,0.2275,0.3120,0.1574,0.7670
2,1.1879,1.1620,0.2377,0.2894,0.1671,0.7605
3,1.1601,1.1521,0.2411,0.2680,0.1727,0.7249
4,1.1443,1.1453,0.2436,0.2587,0.1758,0.7137
5,1.1327,1.1198,0.2419,0.2478,0.1775,0.6769
6,1.1227,1.1278,0.2423,0.2413,0.1794,0.6656
7,1.1126,1.0991,0.2443,0.2305,0.1841,0.6489
8,1.1016,1.0918,0.2475,0.2217,0.1904,0.6410
9,1.0924,1.0835,0.2537,0.2076,0.2157,0.6296
10,1.0810,1.0813,0.2578,0.1950,0.2239,0.6152
11,1.0709,1.0660,0.2574,0.1719,0.2318,0.5728
12,1.0601,1.0589,0.2547,0.1612,0.2336,0.5528
13,1.0519,1.0530,0.2514,0.1543,0.2353,0.5367
14,1.0425,1.0484,0.2577,0.1584,0.2335,0.5605
15,1.0327,1.0372,0.2675,0.1576,0.2423,0.5789
16,1.0229,1.0405,0.2363,0.1363,0.2258,0.4940
17,1.0184,1.0231,0.2599,0.1445,0.2371,0.5626
18,1.0087,1.0148,0.2609,0.1403,0.2402,0.5614
19,0.9992,1.0051,0.2681,0.1406,0.2448,0.5807
20,0.9898,0.9969,0.2715,0.1389,0.2488,0.5887
21,0.9802,0.9936,0.2733,0.1417,0.2242,0.6029
22,0.9768,0.9921,0.2745,0.1423,0.2261,0.6028
23,0.9700,0.9840,0.2736,0.1395,0.2278,0.5964
24,0.9606,0.9720,0.2678,0.1213,0.2332,0.5390
25,0.9591,1.0035,0.2682,0.1236,0.2315,0.5444
26,0.9492,0.9634,0.2689,0.1221,0.2338,0.5429
27,0.9444,0.9603,0.2692,0.1220,0.2347,0.5438
28,0.9373,0.9516,0.2709,0.1203,0.2375,0.5390
29,0.9292,0.9448,0.2732,0.1184,0.2410,0.5401
30,0.9207,0.9443,0.2730,0.1155,0.2433,0.5324
31,0.9186,0.9344,0.2820,0.1145,0.2713,0.5396
32,0.9100,0.9361,0.2896,0.1173,0.2713,0.5511
33,0.9025,0.9221,0.3015,0.1117,0.2764,0.5639
34,0.8885,0.9169,0.3065,0.1083,0.2930,0.5713
35,0.8730,0.9087,0.2969,0.0868,0.2950,0.5330
36,0.8609,0.9063,0.3002,0.0817,0.3033,0.5338
37,0.8426,0.9036,0.3032,0.0770,0.3332,0.5299
38,0.8289,0.8903,0.3160,0.0709,0.3374,0.5241
39,0.8148,0.8830,0.3205,0.0659,0.3398,0.5038
40,0.7996,0.8740,0.3284,0.0646,0.3464,0.5021
41,0.7805,0.8782,0.3167,0.0597,0.3476,0.4645
42,0.7789,0.8720,0.3237,0.0553,0.3572,0.4624
43,0.7591,0.8705,0.3069,0.0508,0.3596,0.4232
44,0.7446,0.8816,0.2967,0.0475,0.3550,0.3857
45,0.7408,0.8766,0.3021,0.0475,0.3559,0.4095
46,0.7271,0.8694,0.3097,0.0503,0.3535,0.4273
47,0.7079,0.8689,0.3056,0.0457,0.3556,0.3979
48,0.6889,0.8697,0.2987,0.0412,0.3412,0.3706
49,0.6823,0.8648,0.3101,0.0413,0.3667,0.3985
50,0.6557,0.8519,0.3172,0.0363,0.3604,0.3955
51,0.6371,0.8521,0.3156,0.0344,0.3688,0.3814
52,0.6279,0.8469,0.3252,0.0331,0.3770,0.3944
53,0.6084,0.8464,0.3232,0.0304,0.4103,0.3797
54,0.5989,0.8476,0.3282,0.0316,0.3828,0.3942
55,0.5790,0.8434,0.3235,0.0294,0.3902,0.3781
56,0.5667,0.8475,0.3257,0.0313,0.3859,0.3868
57,0.5574,0.8494,0.3220,0.0310,0.3825,0.3860
58,0.5490,0.8562,0.3144,0.0325,0.3744,0.3855
59,0.5480,0.8507,0.3227,0.0307,0.3825,0.3896
60,0.5389,0.8497,0.3198,0.0312,0.4150,0.3828
61,0.5297,0.8532,0.3156,0.0319,0.3741,0.3867
62,0.5073,0.8598,0.3049,0.0249,0.3908,0.3369
63,0.4942,0.8637,0.2976,0.0231,0.4149,0.3191
64,0.4845,0.8672,0.2919,0.0221,0.4131,0.3064
65,0.4757,0.8698,0.2874,0.0217,0.4116,0.2997
66,0.4679,0.8713,0.2867,0.0213,0.4360,0.2980
67,0.4610,0.8720,0.2883,0.0209,0.4355,0.2980
68,0.4513,0.8701,0.2917,0.0214,0.4334,0.3025
69,0.4496,0.8692,0.2932,0.0216,0.4319,0.3045
70,0.4486,0.8684,0.2944,0.0217,0.4313,0.3060
71,0.4477,0.8680,0.2954,0.0217,0.4308,0.3074
72,0.4470,0.8676,0.2960,0.0217,0.4303,0.3082
73,0.4463,0.8674,0.2963,0.0217,0.4297,0.3087
74,0.4452,0.8674,0.2964,0.0218,0.4295,0.3091
75,0.4452,0.8673,0.2965,0.0218,0.4295,0.3092
76,0.4451,0.8673,0.2965,0.0218,0.4294,0.3092
77,0.4450,0.8673,0.2966,0.0218,0.4294,0.3092
78,0.4450,0.8673,0.2966,0.0218,0.4293,0.3093
79,0.4449,0.8672,0.2967,0.0218,0.4292,0.3094
80,0.4448,0.8672,0.2967,0.0218,0.4292,0.3094
81,0.4448,0.8672,0.2967,0.0218,0.4292,0.3094
82,0.4448,0.8672,0.2967,0.0218,0.4292,0.3094
83,0.4448,0.8672,0.2967,0.0218,0.4292,0.3094
84,0.4448,0.8672,0.2967,0.0218,0.4292,0.3094
85,0.4448,0.8672,0.2967,0.0218,0.4291,0.3094
86,0.4448,0.8672,0.2967,0.0218,0.4291,0.3094
87,0.4448,0.8672,0.2967,0.0218,0.4291,0.3094
88,0.4448,0.8672,0.2967,0.0218,0.4291,0.3094
89,0.4448,0.8672,0.2967,0.0218,0.4290,0.3094
90,0.4448,0.8672,0.2967,0.0218,0.4290,0.3094
91,0.4448,0.8672,0.2967,0.0218,0.4290,0.3095
92,0.4448,0.8672,0.2967,0.0218,0.4290,0.3095
93,0.4448,0.8672,0.2967,0.0218,0.4290,0.3095
94,0.4447,0.8672,0.2967,0.0218,0.4289,0.3095
95,0.4447,0.8672,0.2967,0.0218,0.4289,0.3095
96,0.4447,0.8672,0.2968,0.0218,0.4289,0.3095
97,0.4447,0.8672,0.2968,0.0218,0.4289,0.3095
98,0.4447,0.8672,0.2968,0.0218,0.4289,0.3095
99,0.4447,0.8672,0.2968,0.0218,0.4288,0.3095
100,0.4447,0.8672,0.2968,0.0218,0.4288,0.3095
101,0.4447,0.8672,0.2968,0.0218,0.4288,0.3095
102,0.4447,0.8672,0.2968,0.0218,0.4288,0.3096
103,0.4447,0.8672,0.2968,0.0218,0.4288,0.3096
