epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.1464,1.1158,0.1267,0.0499,0.1924,0.1394
2,1.1155,1.0986,0.1095,0.0301,0.2157,0.0941
3,1.1034,1.0890,0.1135,0.0266,0.2315,0.0921
4,1.0929,1.0952,0.1494,0.0508,0.2207,0.1846
5,1.0899,1.0748,0.1272,0.0333,0.2298,0.1337
6,1.0824,1.0649,0.1277,0.0259,0.2686,0.1256
7,1.0728,1.0572,0.1113,0.0172,0.3155,0.1016
8,1.0636,1.0509,0.0973,0.0229,0.2592,0.0814
9,1.0554,1.0453,0.0817,0.0172,0.2745,0.0727
10,1.0446,1.0441,0.0835,0.0243,0.2008,0.0822
11,1.0362,1.0418,0.0859,0.0275,0.2039,0.0973
12,1.0267,1.0508,0.0953,0.0391,0.2297,0.1434
13,1.0199,1.0318,0.0971,0.0309,0.1803,0.1198
14,1.0098,1.0283,0.0848,0.0294,0.1678,0.1223
15,1.0003,1.0184,0.1440,0.0544,0.2427,0.2109
16,0.9887,1.0290,0.1398,0.0569,0.2010,0.2257
17,0.9809,1.0200,0.1556,0.0532,0.2271,0.2198
18,0.9722,1.0264,0.1877,0.0634,0.2387,0.2793
19,0.9653,1.0127,0.1877,0.0617,0.2434,0.2808
20,0.9481,1.0102,0.2168,0.0642,0.2473,0.3296
21,0.9336,1.0068,0.2267,0.0621,0.2611,0.3477
22,0.9190,1.0180,0.2305,0.0683,0.2509,0.3649
23,0.9217,1.0125,0.2400,0.0673,0.2556,0.3752
24,0.9104,1.0208,0.2339,0.0732,0.2392,0.3727
25,0.9008,1.0154,0.2352,0.0763,0.2525,0.4037
26,0.8921,0.9990,0.2475,0.0669,0.2711,0.3984
27,0.8691,1.0100,0.2514,0.0738,0.2459,0.4216
28,0.8422,0.9911,0.2467,0.0728,0.2622,0.4108
29,0.8097,0.9895,0.2639,0.0710,0.2787,0.4253
30,0.7799,0.9727,0.2723,0.0701,0.2865,0.4507
31,0.7569,0.9603,0.2887,0.0655,0.3047,0.4647
32,0.7300,0.9457,0.3010,0.0620,0.3155,0.4708
33,0.7011,0.9320,0.3118,0.0497,0.3470,0.4547
34,0.6783,0.9675,0.3064,0.0536,0.3520,0.4467
35,0.6616,0.9354,0.3071,0.0460,0.3685,0.4312
36,0.6467,0.9276,0.3127,0.0481,0.3537,0.4444
37,0.6215,0.9262,0.3074,0.0500,0.3284,0.4472
38,0.5981,0.9300,0.3077,0.0468,0.3360,0.4360
39,0.5766,0.9246,0.3171,0.0479,0.3478,0.4349
40,0.5560,0.9321,0.3159,0.0459,0.3561,0.4217
41,0.5347,0.9191,0.3292,0.0444,0.3653,0.4361
42,0.5114,0.9113,0.3329,0.0427,0.3775,0.4339
43,0.4899,0.9265,0.3263,0.0440,0.3758,0.4272
44,0.4726,0.9103,0.3316,0.0439,0.3758,0.4364
45,0.4485,0.9133,0.3346,0.0457,0.3729,0.4468
46,0.4323,0.8953,0.3468,0.0367,0.4001,0.4359
47,0.4170,0.8873,0.3571,0.0356,0.4110,0.4392
48,0.3967,0.8896,0.3584,0.0364,0.4097,0.4418
49,0.3784,0.8946,0.3543,0.0376,0.4015,0.4409
50,0.3689,0.8892,0.3561,0.0351,0.4120,0.4338
51,0.3578,0.8950,0.3478,0.0340,0.4090,0.4261
52,0.3433,0.8786,0.3553,0.0323,0.4279,0.4195
53,0.3205,0.8895,0.3487,0.0317,0.4285,0.4103
54,0.3064,0.8875,0.3536,0.0336,0.4298,0.4181
55,0.2988,0.8824,0.3549,0.0325,0.4271,0.4253
56,0.2895,0.8950,0.3467,0.0307,0.4355,0.4013
57,0.2755,0.8870,0.3553,0.0329,0.4279,0.4266
58,0.2720,0.8852,0.3549,0.0317,0.4321,0.4183
59,0.2590,0.8836,0.3571,0.0322,0.4299,0.4247
60,0.2521,0.8830,0.3570,0.0320,0.4313,0.4234
61,0.2478,0.8807,0.3576,0.0317,0.4329,0.4233
62,0.2436,0.8799,0.3578,0.0317,0.4335,0.4234
63,0.2405,0.8805,0.3570,0.0317,0.4335,0.4220
64,0.2384,0.8797,0.3580,0.0317,0.4339,0.4234
65,0.2355,0.8800,0.3575,0.0315,0.4343,0.4220
66,0.2355,0.8800,0.3575,0.0315,0.4344,0.4220
67,0.2354,0.8799,0.3576,0.0315,0.4345,0.4220
68,0.2352,0.8801,0.3575,0.0315,0.4344,0.4220
69,0.2349,0.8800,0.3575,0.0315,0.4345,0.4219
70,0.2347,0.8802,0.3574,0.0315,0.4344,0.4219
71,0.2343,0.8802,0.3574,0.0315,0.4344,0.4218
72,0.2343,0.8803,0.3574,0.0315,0.4344,0.4219
73,0.2342,0.8804,0.3574,0.0315,0.4344,0.4219
74,0.2342,0.8802,0.3575,0.0315,0.4344,0.4220
75,0.2342,0.8802,0.3575,0.0315,0.4344,0.4220
76,0.2341,0.8802,0.3575,0.0315,0.4344,0.4221
77,0.2341,0.8802,0.3575,0.0315,0.4344,0.4221
78,0.2341,0.8802,0.3575,0.0315,0.4344,0.4221
79,0.2341,0.8802,0.3575,0.0315,0.4344,0.4221
80,0.2341,0.8802,0.3575,0.0315,0.4344,0.4221
81,0.2341,0.8802,0.3576,0.0315,0.4344,0.4222
82,0.2341,0.8802,0.3576,0.0315,0.4344,0.4221
83,0.2341,0.8802,0.3576,0.0315,0.4344,0.4221
84,0.2341,0.8802,0.3576,0.0315,0.4344,0.4221
85,0.2341,0.8802,0.3576,0.0315,0.4344,0.4221
86,0.2341,0.8802,0.3576,0.0315,0.4344,0.4221
87,0.2341,0.8803,0.3576,0.0315,0.4344,0.4221
88,0.2341,0.8803,0.3576,0.0315,0.4344,0.4221
89,0.2341,0.8803,0.3576,0.0315,0.4344,0.4221
90,0.2341,0.8803,0.3576,0.0315,0.4344,0.4221
91,0.2341,0.8803,0.3576,0.0315,0.4344,0.4221
92,0.2341,0.8803,0.3576,0.0315,0.4344,0.4221
93,0.2340,0.8803,0.3576,0.0315,0.4344,0.4221
94,0.2340,0.8803,0.3576,0.0315,0.4344,0.4221
95,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
96,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
97,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
98,0.2340,0.8803,0.3576,0.0315,0.4344,0.4221
99,0.2341,0.8802,0.3576,0.0315,0.4344,0.4221
100,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
101,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
102,0.2340,0.8802,0.3576,0.0315,0.4344,0.4222
103,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
104,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
105,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
106,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
107,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
108,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
109,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
110,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
111,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
112,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
113,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
114,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
115,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
116,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
117,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
118,0.2340,0.8802,0.3576,0.0315,0.4345,0.4221
119,0.2340,0.8802,0.3577,0.0315,0.4345,0.4221
120,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
121,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
122,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
123,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
124,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
125,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
126,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
127,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
128,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
129,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
130,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
131,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
132,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
133,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
134,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
135,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
136,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
137,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
138,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
139,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
140,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
141,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
142,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
143,0.2340,0.8801,0.3577,0.0315,0.4345,0.4223
144,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
145,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
146,0.2340,0.8801,0.3577,0.0315,0.4345,0.4222
147,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
148,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
149,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
150,0.2340,0.8802,0.3577,0.0315,0.4345,0.4222
151,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
152,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
153,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
154,0.2340,0.8802,0.3577,0.0315,0.4344,0.4222
155,0.2340,0.8802,0.3576,0.0315,0.4344,0.4221
156,0.2339,0.8802,0.3576,0.0315,0.4344,0.4221
157,0.2339,0.8802,0.3576,0.0315,0.4344,0.4221
