epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.2214,1.1898,0.2294,0.3031,0.1598,0.7631
2,1.1973,1.1751,0.2342,0.2909,0.1655,0.7411
3,1.1720,1.1577,0.2320,0.2074,0.1810,0.5838
4,1.1579,1.1453,0.2313,0.2475,0.1705,0.6565
5,1.1481,1.1370,0.2329,0.1890,0.1847,0.5579
6,1.1406,1.1346,0.2381,0.1896,0.1896,0.5717
7,1.1327,1.1380,0.2118,0.1256,0.1954,0.3913
8,1.1243,1.1512,0.2153,0.1268,0.1981,0.4019
9,1.1151,1.1107,0.1971,0.1030,0.1999,0.3330
10,1.1069,1.1192,0.1955,0.0971,0.2048,0.3190
11,1.0961,1.0767,0.1952,0.0911,0.2095,0.3103
12,1.0864,1.0698,0.1810,0.0793,0.2124,0.2722
13,1.0754,1.0666,0.1817,0.0791,0.2134,0.2726
14,1.0665,1.0721,0.1819,0.0791,0.2151,0.2727
15,1.0581,1.0551,0.1875,0.0814,0.2151,0.2868
16,1.0531,1.0408,0.1913,0.0814,0.2159,0.2896
17,1.0437,1.0360,0.1933,0.0794,0.2180,0.2911
18,1.0357,1.0253,0.2142,0.0930,0.2203,0.3550
19,1.0309,1.0248,0.2236,0.1009,0.2231,0.3903
20,1.0232,1.0239,0.2351,0.1038,0.2284,0.4285
21,1.0145,1.0212,0.2130,0.0946,0.2202,0.3974
22,1.0046,1.0109,0.2195,0.1046,0.2155,0.4353
23,0.9956,1.0037,0.2252,0.1083,0.2134,0.4695
24,0.9799,0.9923,0.2327,0.1145,0.2113,0.5054
25,0.9685,0.9902,0.2364,0.0925,0.2288,0.4616
26,0.9544,0.9800,0.2428,0.0872,0.2352,0.4735
27,0.9398,0.9788,0.2419,0.0871,0.2402,0.4770
28,0.9261,0.9619,0.2396,0.0862,0.2397,0.4769
29,0.9174,0.9604,0.2412,0.0778,0.2441,0.4686
30,0.9064,0.9477,0.2472,0.0692,0.2639,0.4637
31,0.8964,0.9391,0.2450,0.0618,0.2699,0.4439
32,0.8833,0.9375,0.2457,0.0623,0.2720,0.4466
33,0.8753,0.9266,0.2489,0.0639,0.2694,0.4575
34,0.8596,0.9240,0.2521,0.0627,0.2754,0.4620
35,0.8554,0.9226,0.2575,0.0572,0.2642,0.4488
36,0.8422,0.9023,0.2607,0.0513,0.2942,0.4250
37,0.8344,0.9053,0.2612,0.0463,0.2874,0.4121
38,0.8238,0.9041,0.2601,0.0461,0.2770,0.4223
39,0.8150,0.9000,0.2636,0.0471,0.3119,0.4168
40,0.8005,0.8997,0.2627,0.0390,0.2990,0.3869
41,0.7874,0.8884,0.2784,0.0372,0.3074,0.3926
42,0.7788,0.9042,0.2596,0.0293,0.3310,0.3405
43,0.7701,0.9027,0.2713,0.0334,0.3176,0.3600
44,0.7635,0.8951,0.2737,0.0325,0.3226,0.3695
45,0.7615,0.8954,0.2752,0.0352,0.3146,0.3735
46,0.7624,0.8910,0.2813,0.0388,0.3035,0.4063
47,0.7498,0.9026,0.2449,0.0306,0.3192,0.3191
48,0.7234,0.8934,0.2566,0.0297,0.3272,0.3413
49,0.7071,0.8966,0.2584,0.0291,0.3528,0.3378
50,0.6982,0.8973,0.2588,0.0281,0.3548,0.3282
51,0.6904,0.8974,0.2622,0.0278,0.3505,0.3252
52,0.6826,0.8980,0.2630,0.0273,0.3492,0.3169
53,0.6747,0.9038,0.2558,0.0274,0.3458,0.3072
54,0.6637,0.9034,0.2558,0.0270,0.3466,0.3047
55,0.6623,0.9022,0.2570,0.0269,0.3473,0.3046
56,0.6608,0.9017,0.2580,0.0269,0.3478,0.3045
57,0.6598,0.9015,0.2583,0.0268,0.3477,0.3044
58,0.6588,0.9020,0.2582,0.0269,0.3472,0.3036
59,0.6579,0.9015,0.2586,0.0269,0.3473,0.3039
60,0.6566,0.9015,0.2587,0.0269,0.3474,0.3041
61,0.6565,0.9015,0.2587,0.0269,0.3475,0.3040
62,0.6564,0.9012,0.2591,0.0269,0.3473,0.3043
63,0.6564,0.9013,0.2589,0.0269,0.3474,0.3041
64,0.6563,0.9015,0.2589,0.0269,0.3475,0.3040
65,0.6562,0.9015,0.2587,0.0269,0.3473,0.3039
66,0.6561,0.9015,0.2587,0.0269,0.3473,0.3039
67,0.6561,0.9015,0.2587,0.0269,0.3473,0.3038
68,0.6561,0.9015,0.2587,0.0269,0.3472,0.3039
69,0.6561,0.9016,0.2587,0.0269,0.3473,0.3039
70,0.6561,0.9016,0.2587,0.0269,0.3473,0.3039
71,0.6561,0.9016,0.2587,0.0269,0.3473,0.3038
72,0.6561,0.9016,0.2587,0.0269,0.3473,0.3038
73,0.6560,0.9016,0.2586,0.0269,0.3472,0.3037
74,0.6560,0.9016,0.2586,0.0269,0.3472,0.3037
75,0.6560,0.9016,0.2586,0.0269,0.3472,0.3037
76,0.6560,0.9018,0.2586,0.0269,0.3472,0.3037
77,0.6560,0.9018,0.2586,0.0269,0.3472,0.3038
78,0.6560,0.9018,0.2585,0.0269,0.3472,0.3037
79,0.6560,0.9018,0.2585,0.0269,0.3472,0.3036
80,0.6560,0.9019,0.2585,0.0269,0.3472,0.3036
81,0.6559,0.9019,0.2585,0.0269,0.3471,0.3036
82,0.6559,0.9018,0.2586,0.0269,0.3472,0.3039
83,0.6559,0.9018,0.2586,0.0269,0.3472,0.3038
84,0.6559,0.9018,0.2586,0.0269,0.3473,0.3039
85,0.6559,0.9018,0.2586,0.0269,0.3473,0.3039
86,0.6559,0.9018,0.2586,0.0269,0.3473,0.3039
87,0.6559,0.9018,0.2586,0.0269,0.3473,0.3039
88,0.6559,0.9018,0.2586,0.0269,0.3473,0.3038
89,0.6559,0.9018,0.2586,0.0269,0.3472,0.3038
90,0.6559,0.9018,0.2586,0.0269,0.3472,0.3039
91,0.6559,0.9019,0.2586,0.0269,0.3472,0.3039
92,0.6559,0.9018,0.2586,0.0269,0.3472,0.3040
93,0.6559,0.9018,0.2586,0.0270,0.3472,0.3040
94,0.6559,0.9018,0.2587,0.0269,0.3474,0.3041
95,0.6559,0.9018,0.2587,0.0269,0.3473,0.3041
96,0.6559,0.9018,0.2587,0.0270,0.3473,0.3041
97,0.6559,0.9018,0.2587,0.0270,0.3473,0.3042
98,0.6559,0.9018,0.2588,0.0270,0.3473,0.3042
99,0.6558,0.9018,0.2588,0.0270,0.3473,0.3042
100,0.6559,0.9018,0.2587,0.0270,0.3473,0.3041
101,0.6558,0.9017,0.2588,0.0270,0.3474,0.3042
102,0.6558,0.9017,0.2588,0.0270,0.3473,0.3043
103,0.6558,0.9017,0.2588,0.0270,0.3473,0.3043
104,0.6558,0.9018,0.2587,0.0269,0.3473,0.3039
105,0.6558,0.9018,0.2587,0.0269,0.3473,0.3039
106,0.6558,0.9018,0.2586,0.0269,0.3473,0.3039
107,0.6558,0.9018,0.2586,0.0269,0.3472,0.3039
108,0.6558,0.9018,0.2586,0.0269,0.3472,0.3039
109,0.6558,0.9018,0.2586,0.0269,0.3473,0.3039
110,0.6558,0.9017,0.2587,0.0270,0.3472,0.3042
111,0.6557,0.9017,0.2587,0.0270,0.3473,0.3041
112,0.6557,0.9017,0.2587,0.0270,0.3473,0.3041
113,0.6557,0.9017,0.2587,0.0270,0.3473,0.3041
114,0.6557,0.9018,0.2587,0.0270,0.3473,0.3041
115,0.6557,0.9018,0.2586,0.0270,0.3473,0.3040
116,0.6557,0.9018,0.2587,0.0269,0.3474,0.3040
117,0.6557,0.9018,0.2587,0.0269,0.3474,0.3040
118,0.6557,0.9018,0.2587,0.0270,0.3474,0.3040
119,0.6556,0.9018,0.2586,0.0270,0.3474,0.3040
120,0.6557,0.9018,0.2586,0.0270,0.3473,0.3039
121,0.6557,0.9018,0.2587,0.0270,0.3473,0.3040
122,0.6557,0.9019,0.2585,0.0269,0.3473,0.3038
123,0.6557,0.9019,0.2585,0.0269,0.3473,0.3037
124,0.6557,0.9019,0.2585,0.0269,0.3473,0.3037
125,0.6557,0.9019,0.2585,0.0269,0.3473,0.3037
126,0.6557,0.9020,0.2583,0.0269,0.3473,0.3036
127,0.6557,0.9020,0.2583,0.0269,0.3473,0.3036
128,0.6557,0.9021,0.2583,0.0269,0.3472,0.3036
129,0.6557,0.9020,0.2583,0.0269,0.3472,0.3036
130,0.6557,0.9020,0.2583,0.0269,0.3472,0.3036
131,0.6557,0.9021,0.2583,0.0269,0.3472,0.3036
132,0.6557,0.9021,0.2583,0.0269,0.3472,0.3036
133,0.6557,0.9021,0.2583,0.0269,0.3472,0.3036
134,0.6556,0.9021,0.2583,0.0269,0.3472,0.3036
135,0.6556,0.9021,0.2584,0.0269,0.3472,0.3036
136,0.6556,0.9021,0.2584,0.0269,0.3473,0.3036
137,0.6556,0.9021,0.2584,0.0269,0.3473,0.3036
138,0.6557,0.9021,0.2584,0.0269,0.3473,0.3034
139,0.6556,0.9021,0.2584,0.0269,0.3472,0.3034
140,0.6556,0.9021,0.2584,0.0269,0.3472,0.3034
141,0.6556,0.9021,0.2584,0.0269,0.3473,0.3034
142,0.6556,0.9021,0.2583,0.0269,0.3473,0.3033
