epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.1424,1.1084,0.1295,0.0551,0.1989,0.1503
2,1.1112,1.0929,0.0514,0.0153,0.1877,0.0347
3,1.0982,1.0830,0.0471,0.0113,0.1691,0.0354
4,1.0890,1.0723,0.0561,0.0125,0.1620,0.0439
5,1.0803,1.0650,0.0545,0.0108,0.1489,0.0457
6,1.0726,1.0606,0.0523,0.0107,0.1205,0.0447
7,1.0642,1.0535,0.0571,0.0123,0.1250,0.0521
8,1.0558,1.0519,0.0718,0.0153,0.1363,0.0651
9,1.0468,1.0525,0.0797,0.0187,0.1213,0.0741
10,1.0393,1.0537,0.1060,0.0562,0.2300,0.1641
11,1.0329,1.0318,0.0817,0.0128,0.2520,0.0628
12,1.0214,1.0238,0.0885,0.0113,0.2339,0.0710
13,1.0087,1.0167,0.1113,0.0155,0.2521,0.1082
14,0.9917,1.0162,0.1163,0.0241,0.2201,0.1405
15,0.9755,1.0076,0.1443,0.0311,0.2099,0.1916
16,0.9570,0.9958,0.2044,0.0380,0.2929,0.2480
17,0.9385,0.9887,0.1957,0.0424,0.2549,0.2624
18,0.9163,0.9843,0.2040,0.0381,0.2584,0.2552
19,0.8998,0.9845,0.2013,0.0366,0.2563,0.2530
20,0.8838,0.9819,0.2015,0.0368,0.2436,0.2747
21,0.8637,0.9730,0.2016,0.0379,0.2653,0.2818
22,0.8381,0.9729,0.2051,0.0358,0.2752,0.2904
23,0.8150,0.9785,0.2007,0.0342,0.2573,0.2899
24,0.8008,0.9802,0.1942,0.0398,0.2522,0.2984
25,0.7908,0.9680,0.2048,0.0362,0.2451,0.3111
26,0.7642,0.9690,0.2123,0.0359,0.2540,0.3371
27,0.7426,0.9626,0.2177,0.0337,0.2696,0.3232
28,0.7168,0.9668,0.2273,0.0358,0.2654,0.3483
29,0.6959,0.9663,0.2460,0.0303,0.2639,0.3381
30,0.6794,0.9747,0.2320,0.0343,0.2856,0.3297
31,0.6697,0.9707,0.2233,0.0352,0.2405,0.3422
32,0.6555,0.9528,0.2363,0.0308,0.2837,0.3391
33,0.6223,0.9559,0.2438,0.0252,0.2999,0.3101
34,0.5988,0.9622,0.2432,0.0273,0.2958,0.3132
35,0.5780,0.9564,0.2271,0.0183,0.3332,0.2460
36,0.5758,0.9472,0.2470,0.0259,0.3121,0.3187
37,0.5425,0.9614,0.2208,0.0189,0.3347,0.2492
38,0.5134,0.9581,0.2378,0.0196,0.3486,0.2621
39,0.4937,0.9504,0.2556,0.0230,0.3246,0.3093
40,0.4807,0.9368,0.2623,0.0236,0.3446,0.3119
41,0.4486,0.9408,0.2635,0.0206,0.3428,0.2944
42,0.4218,0.9385,0.2587,0.0194,0.3436,0.2868
43,0.4065,0.9427,0.2678,0.0220,0.3328,0.3126
