epoch,tr_loss,vl_loss,dice,fpr,prec,rec
1,1.2378,1.2058,0.1659,0.4646,0.1064,0.7470
2,1.2040,1.1771,0.2277,0.3082,0.1590,0.7666
3,1.1738,1.1527,0.1760,0.1122,0.1803,0.3055
4,1.1683,1.1676,0.1035,0.0470,0.1681,0.1127
5,1.1575,1.1676,0.0958,0.0307,0.1870,0.1002
6,1.1493,1.1498,0.1175,0.0395,0.2054,0.1240
7,1.1519,1.1505,0.0895,0.0251,0.2067,0.0809
8,1.1442,1.1492,0.0887,0.0242,0.2127,0.0788
9,1.1411,1.1389,0.0907,0.0237,0.2163,0.0826
10,1.1361,1.1336,0.0925,0.0247,0.2177,0.0867
11,1.1292,1.1214,0.0888,0.0260,0.2161,0.0896
12,1.1215,1.1163,0.0971,0.0319,0.2197,0.1167
13,1.1136,1.1064,0.1077,0.0367,0.2388,0.1363
14,1.1065,1.1012,0.0950,0.0311,0.2182,0.1250
15,1.0998,1.0945,0.1310,0.0486,0.2133,0.1822
16,1.0932,1.0884,0.1210,0.0385,0.2427,0.1645
17,1.0887,1.0913,0.1333,0.0471,0.2450,0.1868
18,1.0807,1.0809,0.1250,0.0408,0.2398,0.1569
19,1.0736,1.0760,0.1276,0.0438,0.2479,0.1741
20,1.0637,1.0683,0.1341,0.0542,0.2448,0.2054
21,1.0505,1.0505,0.1390,0.0558,0.2297,0.2227
22,1.0385,1.0415,0.1395,0.0511,0.2376,0.2205
23,1.0292,1.0342,0.1481,0.0516,0.2714,0.2347
24,1.0188,1.0267,0.1536,0.0492,0.2731,0.2367
25,1.0118,1.0245,0.1617,0.0493,0.2539,0.2408
26,1.0017,1.0262,0.1735,0.0550,0.2535,0.2598
27,0.9977,1.0206,0.1689,0.0533,0.2531,0.2504
28,0.9955,1.0156,0.1707,0.0597,0.2605,0.2617
29,0.9875,1.0139,0.1613,0.0602,0.2841,0.2523
30,0.9749,1.0097,0.1654,0.0691,0.2374,0.2720
31,0.9626,1.0087,0.1621,0.0723,0.2274,0.2731
32,0.9529,1.0028,0.1604,0.0775,0.1974,0.2755
33,0.9457,1.0068,0.1614,0.0838,0.1913,0.2790
34,0.9338,0.9818,0.1588,0.0741,0.2031,0.2693
35,0.9292,0.9775,0.1550,0.0720,0.2052,0.2636
36,0.9201,0.9796,0.1230,0.0568,0.2193,0.2108
37,0.9227,0.9979,0.1474,0.0687,0.1970,0.2422
38,0.9142,0.9803,0.1327,0.0631,0.2026,0.2178
39,0.9052,0.9890,0.1012,0.0495,0.1945,0.1834
40,0.8981,0.9988,0.1402,0.0522,0.2077,0.2128
41,0.8956,0.9919,0.0999,0.0371,0.1574,0.1575
42,0.8823,0.9778,0.1072,0.0486,0.1928,0.1828
43,0.8738,0.9778,0.1056,0.0444,0.2167,0.1754
44,0.8684,0.9784,0.1033,0.0403,0.2086,0.1668
45,0.8640,0.9798,0.1021,0.0374,0.1310,0.1599
46,0.8606,0.9804,0.1009,0.0344,0.1338,0.1511
47,0.8564,0.9813,0.0986,0.0336,0.1603,0.1456
48,0.8510,0.9788,0.0971,0.0331,0.1604,0.1403
49,0.8498,0.9788,0.0953,0.0325,0.1606,0.1366
50,0.8489,0.9791,0.0944,0.0322,0.1624,0.1351
51,0.8482,0.9792,0.0935,0.0319,0.1631,0.1336
52,0.8476,0.9793,0.0934,0.0318,0.1674,0.1337
53,0.8469,0.9794,0.0931,0.0316,0.1685,0.1331
54,0.8463,0.9792,0.0932,0.0317,0.1684,0.1331
55,0.8462,0.9792,0.0932,0.0316,0.1684,0.1331
56,0.8462,0.9792,0.0932,0.0316,0.1683,0.1330
57,0.8462,0.9791,0.0931,0.0316,0.1683,0.1329
58,0.8461,0.9791,0.0931,0.0316,0.1683,0.1328
59,0.8460,0.9791,0.0930,0.0316,0.1683,0.1328
60,0.8460,0.9791,0.0930,0.0316,0.1682,0.1328
61,0.8460,0.9791,0.0930,0.0316,0.1682,0.1328
62,0.8459,0.9791,0.0930,0.0316,0.1682,0.1327
63,0.8459,0.9791,0.0930,0.0316,0.1682,0.1327
64,0.8459,0.9791,0.0930,0.0316,0.1682,0.1327
65,0.8459,0.9791,0.0930,0.0316,0.1683,0.1326
66,0.8459,0.9791,0.0930,0.0316,0.1683,0.1326
67,0.8459,0.9791,0.0930,0.0316,0.1683,0.1326
68,0.8459,0.9791,0.0930,0.0316,0.1683,0.1326
69,0.8459,0.9791,0.0930,0.0316,0.1683,0.1326
70,0.8459,0.9791,0.0930,0.0316,0.1683,0.1326
71,0.8459,0.9791,0.0930,0.0316,0.1683,0.1327
72,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
73,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
74,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
75,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
76,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
77,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
78,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
79,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
80,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
81,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
82,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
83,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
84,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
85,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
86,0.8459,0.9792,0.0930,0.0315,0.1683,0.1327
87,0.8458,0.9791,0.0930,0.0315,0.1683,0.1327
88,0.8458,0.9791,0.0930,0.0315,0.1683,0.1327
89,0.8458,0.9792,0.0930,0.0315,0.1683,0.1326
90,0.8458,0.9792,0.0929,0.0315,0.1683,0.1326
91,0.8458,0.9792,0.0929,0.0315,0.1683,0.1326
92,0.8458,0.9792,0.0930,0.0315,0.1683,0.1326
93,0.8458,0.9792,0.0929,0.0315,0.1683,0.1326
94,0.8458,0.9792,0.0929,0.0315,0.1683,0.1326
95,0.8458,0.9792,0.0929,0.0315,0.1683,0.1326
96,0.8458,0.9792,0.0930,0.0315,0.1683,0.1326
97,0.8458,0.9792,0.0929,0.0315,0.1683,0.1326
98,0.8458,0.9792,0.0929,0.0315,0.1683,0.1325
99,0.8458,0.9792,0.0929,0.0315,0.1683,0.1325
100,0.8458,0.9792,0.0930,0.0315,0.1683,0.1325
101,0.8458,0.9792,0.0929,0.0315,0.1683,0.1325
102,0.8458,0.9792,0.0929,0.0315,0.1683,0.1325
103,0.8458,0.9792,0.0929,0.0315,0.1683,0.1325
104,0.8458,0.9792,0.0929,0.0315,0.1683,0.1325
105,0.8458,0.9792,0.0928,0.0315,0.1683,0.1324
106,0.8458,0.9792,0.0928,0.0315,0.1683,0.1324
107,0.8458,0.9792,0.0928,0.0315,0.1683,0.1324
108,0.8458,0.9792,0.0928,0.0315,0.1683,0.1324
109,0.8457,0.9792,0.0928,0.0315,0.1690,0.1324
110,0.8458,0.9792,0.0928,0.0314,0.1690,0.1324
111,0.8457,0.9792,0.0928,0.0314,0.1690,0.1324
112,0.8457,0.9792,0.0928,0.0314,0.1690,0.1324
113,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
114,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
115,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
116,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
117,0.8457,0.9792,0.0928,0.0314,0.1696,0.1324
118,0.8457,0.9792,0.0928,0.0314,0.1696,0.1324
119,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
120,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
121,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
122,0.8457,0.9792,0.0928,0.0314,0.1689,0.1324
123,0.8457,0.9792,0.0928,0.0314,0.1689,0.1323
124,0.8457,0.9792,0.0928,0.0314,0.1696,0.1323
125,0.8457,0.9792,0.0928,0.0314,0.1696,0.1323
126,0.8457,0.9792,0.0927,0.0314,0.1695,0.1322
127,0.8457,0.9792,0.0926,0.0314,0.1695,0.1322
128,0.8457,0.9792,0.0927,0.0314,0.1692,0.1322
129,0.8457,0.9792,0.0927,0.0314,0.1692,0.1322
130,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
131,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
132,0.8457,0.9792,0.0927,0.0314,0.1692,0.1322
133,0.8457,0.9792,0.0927,0.0314,0.1692,0.1322
134,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
135,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
136,0.8456,0.9792,0.0926,0.0314,0.1691,0.1321
137,0.8456,0.9792,0.0926,0.0314,0.1691,0.1321
138,0.8456,0.9792,0.0926,0.0314,0.1691,0.1321
139,0.8456,0.9792,0.0926,0.0314,0.1691,0.1321
140,0.8456,0.9792,0.0926,0.0314,0.1691,0.1321
141,0.8456,0.9792,0.0926,0.0314,0.1692,0.1321
142,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
143,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
144,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
145,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
146,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
147,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
148,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
149,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
150,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
151,0.8456,0.9792,0.0927,0.0314,0.1692,0.1322
152,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
153,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
154,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
155,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
156,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
157,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
158,0.8456,0.9792,0.0927,0.0314,0.1692,0.1321
159,0.8456,0.9793,0.0927,0.0314,0.1692,0.1321
160,0.8456,0.9793,0.0928,0.0314,0.1692,0.1321
161,0.8456,0.9793,0.0928,0.0314,0.1692,0.1321
162,0.8456,0.9793,0.0928,0.0314,0.1692,0.1321
163,0.8456,0.9793,0.0928,0.0314,0.1692,0.1321
164,0.8456,0.9793,0.0928,0.0314,0.1692,0.1321
165,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
166,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
167,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
168,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
169,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
170,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
171,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
172,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
173,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
174,0.8455,0.9793,0.0928,0.0314,0.1693,0.1321
175,0.8455,0.9793,0.0928,0.0314,0.1693,0.1321
176,0.8455,0.9793,0.0928,0.0314,0.1693,0.1321
177,0.8455,0.9793,0.0928,0.0313,0.1693,0.1321
178,0.8455,0.9793,0.0928,0.0313,0.1693,0.1321
179,0.8455,0.9793,0.0927,0.0313,0.1693,0.1320
180,0.8455,0.9793,0.0928,0.0313,0.1693,0.1321
181,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
182,0.8455,0.9793,0.0928,0.0314,0.1692,0.1321
183,0.8455,0.9793,0.0928,0.0313,0.1693,0.1320
184,0.8455,0.9793,0.0928,0.0313,0.1693,0.1320
185,0.8455,0.9793,0.0927,0.0313,0.1693,0.1320
186,0.8455,0.9793,0.0928,0.0313,0.1693,0.1321
187,0.8455,0.9793,0.0928,0.0313,0.1693,0.1321
188,0.8455,0.9793,0.0928,0.0313,0.1693,0.1321
189,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
190,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
191,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
192,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
193,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
194,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
195,0.8454,0.9793,0.0928,0.0313,0.1693,0.1321
196,0.8454,0.9793,0.0928,0.0313,0.1693,0.1320
197,0.8454,0.9793,0.0928,0.0313,0.1693,0.1320
198,0.8454,0.9793,0.0928,0.0313,0.1693,0.1320
199,0.8454,0.9793,0.0928,0.0313,0.1693,0.1320
200,0.8454,0.9793,0.0928,0.0313,0.1693,0.1320
